13,53,11,21,31,33,15,25,35,P(W)
-14.1,20.2,-12.7,-16,-14.1,-10,-12,-14.5,-13.6,68.1
-14.1,20.1,-12.6,-16,-14,-10,-12,-14.5,-13.6,67.9
-14.2,19.9,-12.6,-15.9,-13.9,-9.9,-12,-14.4,-13.5,68
-14.2,19.8,-12.6,-15.9,-13.9,-9.9,-11.9,-14.4,-13.5,67.8
-14.2,19.6,-12.5,-15.8,-13.9,-9.9,-11.9,-14.3,-13.5,67.9
-14.3,19.5,-12.5,-15.8,-13.9,-9.9,-11.9,-14.3,-13.4,67.7
-14.3,19.4,-12.5,-15.8,-13.8,-9.9,-11.9,-14.3,-13.4,67.4
-14.4,19.2,-12.6,-15.8,-13.8,-9.9,-11.9,-14.3,-13.3,67.7
-14.4,19.1,-12.6,-15.8,-13.8,-9.9,-11.8,-14.3,-13.3,67.6
-14.4,19,-12.6,-15.8,-13.8,-9.9,-11.9,-14.3,-13.4,67.3
-14.5,18.8,-12.5,-15.8,-13.8,-9.9,-11.9,-14.3,-13.4,67.3
-14.5,18.7,-12.6,-15.8,-13.7,-9.9,-11.9,-14.3,-13.4,67.3
-14.5,18.6,-12.5,-15.8,-13.7,-9.9,-11.9,-14.2,-13.4,67.3
-14.5,18.4,-12.5,-15.8,-13.8,-9.9,-11.9,-14.3,-13.3,67
-14.6,18.3,-12.5,-15.8,-13.7,-9.9,-11.9,-14.3,-13.3,67.7
-14.6,18.2,-12.5,-15.8,-13.7,-9.9,-11.9,-14.3,-13.3,67
-14.6,18,-12.5,-15.8,-13.7,-9.9,-11.9,-14.3,-13.4,67
-14.6,17.9,-12.5,-15.8,-13.8,-9.9,-11.9,-14.3,-13.3,67
-14.6,17.8,-12.5,-15.8,-13.7,-9.9,-11.9,-14.3,-13.4,67
-14.7,17.7,-12.5,-15.8,-13.8,-9.9,-11.9,-14.3,-13.3,66.9
-14.7,17.5,-12.5,-15.8,-13.8,-10,-11.9,-14.3,-13.3,66.8
-14.7,17.4,-12.5,-15.9,-13.7,-10,-12,-14.3,-13.3,67
-14.7,17.3,-12.6,-15.9,-13.8,-10,-12,-14.3,-13.4,66.9
-14.7,17.2,-12.5,-15.9,-13.8,-10,-12.1,-14.4,-13.4,66.6
-14.7,17,-12.5,-15.9,-13.8,-10.1,-12,-14.3,-13.5,66.6
-14.8,16.9,-12.5,-15.9,-13.9,-10,-12,-14.4,-13.5,66.3
-14.8,16.8,-12.6,-16,-13.9,-10.1,-12.1,-14.3,-13.6,67
-14.8,16.7,-12.6,-16,-13.9,-10.1,-12.1,-14.4,-13.5,66.3
-14.8,16.5,-12.6,-16,-13.9,-10.2,-12.1,-14.4,-13.6,66.8
-14.8,16.4,-12.6,-16,-13.9,-10.2,-12.1,-14.5,-13.5,66.4
-14.9,16.3,-12.7,-16.1,-13.9,-10.2,-12.1,-14.5,-13.6,66.2
-14.9,16.2,-12.7,-16.1,-13.9,-10.3,-12.2,-14.5,-13.6,66.2
-14.9,16.1,-12.7,-16.1,-14,-10.3,-12.2,-14.5,-13.6,66.8
-14.9,16,-12.8,-16.2,-14,-10.3,-12.1,-14.5,-13.7,66
-14.9,15.8,-12.8,-16.2,-14,-10.3,-12.2,-14.6,-13.6,66
-15,15.7,-12.8,-16.2,-14.1,-10.3,-12.2,-14.6,-13.7,66.1
-15,15.6,-12.8,-16.2,-14.1,-10.4,-12.3,-14.6,-13.8,66.4
-15,15.5,-12.8,-16.3,-14.1,-10.4,-12.3,-14.6,-13.7,66.2
-15,15.4,-12.9,-16.3,-14.2,-10.5,-12.3,-14.7,-13.8,65.7
-15.1,15.2,-12.9,-16.3,-14.1,-10.5,-12.4,-14.7,-13.9,65.8
-15.1,15.1,-12.9,-16.2,-14.1,-10.4,-12.3,-14.6,-13.8,1.5
-15,15,-12.7,-15.8,-14,-10,-11.9,-14.3,-13.4,1.5
-15,14.9,-12.5,-15.5,-13.9,-9.7,-11.6,-13.9,-13.1,1.5
-14.9,14.9,-12.2,-15.2,-13.8,-9.5,-11.3,-13.7,-12.9,1.5
-14.9,14.8,-12,-14.9,-13.6,-9.5,-11,-13.4,-12.6,1.5
-14.8,14.7,-11.6,-14.5,-13.4,-9.7,-10.7,-13.1,-12.2,137.5
-14.7,14.6,-11.4,-14.3,-13.2,-9.9,-10.6,-13.1,-12.3,102.3
-14.7,14.5,-11.6,-14.8,-13.2,-10.1,-10.8,-13.4,-12.6,98.5
-14.8,14.4,-11.7,-15.4,-13.2,-10.1,-11,-13.8,-13,96.8
-14.8,14.3,-11.9,-15.9,-13.4,-10.2,-11.4,-14,-13.4,96.9
-14.8,14.2,-12.2,-16.4,-13.5,-10.3,-11.6,-14.3,-13.5,96.7
-14.9,14.1,-12.4,-16.8,-13.8,-10.4,-11.9,-14.6,-13.9,97.1
-14.9,14,-12.6,-17.1,-14,-10.5,-12.2,-14.9,-14.1,96.6
-15,13.9,-12.8,-17.4,-14.2,-10.6,-12.4,-15.1,-14.4,96.4
-15.1,13.8,-13,-17.7,-14.4,-10.8,-12.6,-15.3,-14.6,96.3
-15.2,13.7,-13.2,-17.8,-14.6,-10.9,-12.8,-15.5,-14.7,63.8
-15.2,13.6,-13.3,-17.8,-14.8,-11,-13,-15.5,-14.7,64.9
-15.3,13.6,-13.4,-17.7,-14.9,-11.1,-13,-15.5,-14.7,65.4
-15.4,13.4,-13.5,-17.5,-15,-11.1,-13,-15.5,-14.8,65.5
-15.4,13.3,-13.5,-17.5,-15.1,-11.2,-13.1,-15.6,-14.8,64.8
-15.4,13.2,-13.5,-17.4,-15.1,-11.3,-13.1,-15.6,-14.8,64.8
-15.5,13.1,-13.6,-17.4,-15.1,-11.4,-13.2,-15.6,-14.8,65.1
-15.5,13,-13.7,-17.4,-15.1,-11.4,-13.2,-15.6,-14.9,64.2
-15.6,12.9,-13.7,-17.3,-15.2,-11.4,-13.2,-15.6,-14.9,64.5
-15.6,12.8,-13.8,-17.3,-15.2,-11.5,-13.2,-15.6,-15,65.1
-15.7,12.7,-13.8,-17.3,-15.2,-11.5,-13.3,-15.7,-15,65.4
-15.7,12.6,-13.8,-17.4,-15.3,-11.6,-13.3,-15.7,-15,64.4
-15.7,12.5,-13.8,-17.4,-15.3,-11.6,-13.4,-15.6,-15.1,64.7
-15.8,12.4,-13.9,-17.4,-15.3,-11.7,-13.4,-15.7,-15.1,65
-15.8,12.3,-14,-17.4,-15.3,-11.7,-13.4,-15.8,-15.1,64.3
-15.8,12.2,-13.9,-17.5,-15.4,-11.7,-13.4,-15.8,-15.2,64.6
-15.9,12.2,-14,-17.5,-15.4,-11.8,-13.5,-15.9,-15.2,64.6
-15.9,12.1,-14,-17.5,-15.4,-11.8,-13.6,-15.9,-15.2,64.3
-16,12,-14.1,-17.5,-15.4,-11.8,-13.5,-15.9,-15.3,63.7
-16,11.9,-14.1,-17.5,-15.5,-11.9,-13.5,-15.9,-15.3,64.6
-16,11.8,-14.1,-17.6,-15.5,-11.9,-13.6,-15.9,-15.3,63.6
-16.1,11.7,-14.1,-17.6,-15.6,-12,-13.6,-15.9,-15.3,64.1
-16.1,11.6,-14.2,-17.6,-15.6,-12,-13.7,-16,-15.4,63.6
-16.1,11.5,-14.2,-17.6,-15.5,-12,-13.7,-16,-15.4,64.7
-16.2,11.4,-14.2,-17.7,-15.6,-12.1,-13.8,-16.1,-15.4,64.4
-16.2,11.3,-14.2,-17.7,-15.6,-12.1,-13.8,-16.1,-15.4,64.3
-16.3,11.2,-14.3,-17.7,-15.7,-12.1,-13.8,-16.1,-15.5,64.2
-16.3,11.1,-14.3,-17.8,-15.7,-12.1,-13.8,-16.1,-15.5,63.8
-16.3,11,-14.3,-17.8,-15.8,-12.2,-13.8,-16.2,-15.6,63.6
-16.3,10.9,-14.4,-17.8,-15.8,-12.2,-13.8,-16.2,-15.6,63.1
-16.4,10.8,-14.4,-17.8,-15.8,-12.2,-13.9,-16.2,-15.6,64.3
-16.4,10.7,-14.4,-17.8,-15.8,-12.2,-13.9,-16.2,-15.7,63.6
-16.4,10.7,-14.4,-17.9,-15.8,-12.3,-13.9,-16.2,-15.7,64.5
-16.4,10.6,-14.5,-17.9,-15.9,-12.3,-14,-16.3,-15.7,62.9
-16.5,10.5,-14.5,-17.9,-15.9,-12.3,-14.1,-16.3,-15.7,64.2
-16.5,10.4,-14.5,-17.9,-15.9,-12.4,-14,-16.3,-15.8,63.2
-16.5,10.3,-14.5,-18,-16,-12.4,-14.2,-16.4,-15.8,63.2
-16.6,10.2,-14.6,-18,-16,-12.5,-14.1,-16.4,-15.8,63.5
-16.6,10.1,-14.6,-18,-16,-12.5,-14.1,-16.4,-15.8,63.3
-16.6,10.1,-14.6,-18,-16.1,-12.5,-14.1,-16.4,-15.9,63.7
-16.7,10,-14.7,-18.1,-16.1,-12.6,-14.2,-16.5,-15.9,63.8
-16.7,9.9,-14.7,-18.1,-16.1,-12.6,-14.2,-16.5,-16,63.5
-16.7,9.8,-14.7,-18.1,-16.1,-12.6,-14.3,-16.6,-16,63.2
-16.8,9.7,-14.8,-18.2,-16.1,-12.6,-14.3,-16.6,-16,63
-16.8,9.6,-14.8,-18.2,-16.2,-12.7,-14.3,-16.6,-16.1,63.7
-16.8,9.6,-14.8,-18.2,-16.2,-12.7,-14.4,-16.6,-16.1,63.1
-16.8,9.5,-14.8,-18.3,-16.3,-12.8,-14.3,-16.7,-16.1,62.9
-16.9,9.4,-14.9,-18.3,-16.3,-12.8,-14.4,-16.7,-16.1,63.9
-16.9,9.3,-14.9,-18.3,-16.3,-12.9,-14.4,-16.7,-16.1,63.2
-16.9,9.2,-14.8,-18,-16.2,-12.7,-14.3,-16.6,-15.9,1.5
-16.9,9.1,-14.6,-17.8,-16.1,-12.3,-14,-16.3,-15.7,1.5
-16.8,9.1,-14.4,-17.4,-16,-12.1,-13.6,-16,-15.4,1.5
-16.8,9,-14.1,-17.2,-15.9,-12,-13.3,-15.7,-15.2,1.5
-16.8,9,-13.9,-16.9,-15.8,-11.9,-13,-15.5,-15,1.5
-16.7,8.9,-13.6,-16.6,-15.6,-11.9,-12.7,-15.3,-14.8,1.5
-16.7,8.9,-13.3,-16.4,-15.4,-12,-12.4,-15.2,-14.6,1.5
-16.7,8.9,-13.1,-16.2,-15.3,-12,-12.2,-15.1,-14.4,1.5
